mainFrameColor,236,10,249
jButton1,233,59,121
jButton2,191,206,31
jButton3,157,188,209
jButton4,154,38,136
jButton5,108,161,130
jButton6,21,139,11
jButton7,9,80,111
jButton8,167,190,124
jButton9,28,227,207
jButton10,54,244,150
jButton11,225,202,149
jButton12,52,227,116
jButton13,216,74,215
jButton14,6,76,54
jButton15,117,30,159
jButton16,112,13,23
jButton17,232,13,113
jButton18,224,190,162
jTextField1,231,21,3
jTextField1TextColor,145,9,174
jLabel1,3,124,251
jPanel1,75,138,160
jPanel2,248,168,102
jPanel3,53,65,134
jPanel4,189,111,165
jPanel5,68,231,100
